133984;8064;5181;;34285;2667;1335;;121421;7578;4804;;50626;4552;1783;;131580;7965;5093;;75493;6820;4106;;152980;8208;5286;;69111;7688;3385;;126821;7803;4968;;60836;5191;2975;;129395;7785;4990;;53401;4514;2539;;130357;7884;5080;;46859;4921;1563;;134184;8001;5162;;82647;6837;3343;;127441;7785;5002;;58461;5050;2599;;132170;7947;5119;;44795;3750;1638;;
140155;8469;5440;;64962;5722;3238;;134986;8343;5279;;46678;4616;1663;;142581;8568;5493;;61556;5330;2695;;159653;8514;5462;;52068;4776;1884;;136358;8424;5390;;45787;4184;1709;;125708;7596;4867;;60364;5114;3148;;139254;8505;5402;;53401;4271;2393;;139645;8496;5427;;62106;4777;2049;;136669;8460;5387;;44845;3302;2157;;137401;8415;5411;;53050;4096;3012;;
153511;9036;5738;;86905;7860;4572;;145386;8802;5578;;62558;6192;2913;;215219;9135;5835;;101843;9751;5595;;151046;9171;5848;;77798;7133;4502;;137651;8640;5474;;47941;3679;2122;;140516;8712;5540;;50486;4926;1898;;150345;9000;5729;;63150;5431;2661;;143893;8973;5692;;51668;5183;1765;;146197;9090;5778;;55926;5983;1895;;143222;8838;5659;;94088;8929;4089;;
157990;9351;5971;;123685;8413;3534;;154363;9486;6022;;59933;5272;2405;;138533;8694;5468;;79461;7574;3789;;159192;9702;6193;;48151;3697;1748;;160865;9324;5885;;47269;3945;1752;;157188;9747;6187;;71355;5978;3121;;154413;9603;6082;;65273;5334;3474;;161527;9738;6174;;54673;3320;1377;;158621;9657;6178;;66306;5239;2881;;161325;9774;6225;;47580;3727;1786;;
172938;10197;6482;;60394;4978;2282;;169181;10251;6531;;70333;5008;3507;;165223;10287;6517;;53231;4005;2159;;160535;9963;6291;;84370;8881;3648;;170524;10431;6629;;62599;5329;2858;;181504;10098;6423;;66867;5396;3632;;160123;9900;6253;;61656;5222;2421;;165264;10242;6509;;67057;5728;2919;;164743;10215;6503;;52219;4590;1884;;148852;9378;5902;;48041;4488;2282;;
176795;10827;6864;;50245;4614;2013;;174602;10719;6777;;511109;5998;2474;;176014;10764;6841;;90922;6945;5013;;195631;10989;7037;;91243;9041;4460;;172267;10665;6781;;138693;13242;8324;;172247;10692;6740;;109458;9158;6504;;2194031;10701;6774;;118915;8326;6371;;178097;10872;6940;;81564;8454;3555;;186293;10971;6924;;70193;6574;3244;;175823;10746;6855;;65252;7395;2172;;
186254;11475;7252;;76074;6322;3390;;183287;11358;7206;;72688;6667;3211;;186484;11403;7244;;97645;7894;5744;;182687;11286;7117;;71947;4572;2696;;183919;11367;7185;;86665;9711;3306;;184239;11367;7263;;48362;4407;1968;;176384;11124;6992;;141148;11662;7215;;189339;11574;7398;;65043;7302;2257;;176145;11016;6946;;57960;5339;2048;;183308;11250;7091;;88568;10124;3286;;
192705;11709;7438;;54584;6527;1624;;197415;11979;7597;;104658;11720;4476;;264882;11889;7529;;77176;6558;2048;;192575;11934;7571;;109217;10565;5739;;194248;11853;7505;;106282;7961;4528;;187776;11673;7332;;82406;9246;3650;;188588;11592;7316;;73760;5843;3033;;193336;11979;7604;;88849;4913;2361;;194870;11889;7605;;102515;9273;5409;;199509;12033;7673;;76264;5888;4495;;
212804;12456;7930;;65354;5758;2363;;166997;10602;6610;;71807;7512;3466;;228142;12492;7881;;74131;5733;3493;;181695;11322;7110;;64301;5041;2437;;200089;12483;7918;;91343;7947;4191;;2362481;12465;7904;;150415;14945;8260;;205330;12537;7920;;97374;7144;3702;;242940;12528;7948;;75643;7306;3463;;210298;12456;7924;;113305;11208;5888;;193937;12123;7638;;60665;5884;2109;;
214767;13266;8407;;121991;7963;5400;;210740;13131;8335;;93657;11943;3459;;211161;13167;8382;;104788;9941;4940;;227101;12735;8119;;84120;9569;2784;;207403;12924;8200;;99178;7902;4962;;211511;12870;8200;;109749;11321;3691;;195200;12357;7754;;97545;8356;4695;;214507;13221;8426;;82206;6999;3494;;4355891;12996;8202;;67258;5407;2348;;207183;12870;8175;;112974;12154;5738;;
287545;13491;8553;;117813;11601;5582;;219145;13527;8580;;63070;5961;2282;;214647;13662;8686;;130177;11166;5204;;206542;13032;8182;;188918;17060;12267;;216069;13536;8528;;106492;9676;5099;;223564;13869;8821;;126369;11970;6445;;216109;13374;8437;;87877;6920;4357;;4195567;13554;8596;;99288;8805;4513;;209928;13212;8330;;79581;6410;3194;;208555;13149;8290;;117152;10297;3900;;
223584;13806;8680;;95912;7678;4469;;224806;14184;8953;;119056;10490;5898;;200711;12582;7875;;80523;5932;3932;;218755;13770;8707;;103977;8671;4726;;242199;14202;8951;;88047;7136;3598;;228855;14067;8920;;90211;9563;3402;;226770;13905;8762;;116942;10356;6068;;234034;14175;9038;;96162;8766;3819;;225347;14094;8922;;136779;15569;6686;;223684;13707;8662;;126098;11002;6753;;
224977;13977;8808;;117763;10988;5411;;253371;14652;9307;;64653;5114;2383;;232250;14733;9354;;93177;10523;3419;;247119;14724;9342;;126811;14663;5617;;217192;13365;8439;;74051;7569;2316;;241538;14832;9406;;146858;8382;5905;;236579;14589;9250;;83048;7389;3843;;217292;13644;8545;;70194;5472;3123;;4224311;14652;9305;;64823;6833;2026;;236028;14445;9103;;128725;10983;6647;;
259582;14787;9361;;116822;9776;5344;;233022;14706;9328;;91774;12126;2847;;257327;15084;9486;;155635;12946;9311;;218605;13797;8705;;79611;6020;3426;;246067;15003;9583;;100190;9369;2814;;240866;15102;9530;;108065;11806;3549;;236198;14697;9236;;56497;4671;2219;;4227598;15282;9680;;74191;6206;2389;;251577;15354;9687;;95071;8695;5070;;261555;15147;9613;;90411;7977;3431;;
258470;15840;10056;;75744;7400;2415;;305079;16308;10367;;96783;8453;3476;;255184;15525;9884;;99989;9723;4131;;240696;14958;9441;;54874;5843;1744;;250485;15507;9826;;103797;8747;5436;;254773;15597;9905;;87977;10248;2917;;8150167;15660;9872;;112904;11456;5100;;253210;15912;10034;;96604;9586;3789;;266385;15876;10020;;112414;9567;4866;;252028;15741;9999;;104348;11099;3624;;
264031;16416;10397;;133062;13046;6243;;265533;15714;9827;;121089;9751;3508;;261917;16362;10374;;110279;9867;4326;;259631;16461;10407;;91704;9771;3090;;266876;16488;10490;;145727;13672;7121;;266846;16560;10514;;74983;8311;2584;;264081;16542;10430;;133122;11339;6668;;264712;16290;10292;;149634;13488;8399;;268118;16389;10388;;79541;7336;2555;;257057;16263;10234;;123193;8485;3254;;
