1500;;7911;5101;129815;;6001;3308;64773;;7821;5001;127040;;4458;2903;56357;;7767;4992;145726;;5083;2745;58962;;6939;4375;109568;;3909;1169;37011;;8172;5278;148512;;4611;2514;49424;;8055;5188;131650;;7114;4255;78319;;7956;5094;199959;;3961;1861;49294;;7929;5088;130667;;7541;3315;72768;;8127;5212;132091;;5035;1451;44244;;7830;5036;131289;;6512;4166;76024;;
1600;;8397;5283;157789;;5856;2612;63341;;8352;5289;134676;;4893;2062;55816;;8352;5313;135267;;6475;3522;68871;;8550;5455;176826;;4138;1448;44144;;8388;5358;138784;;3955;1908;72287;;8469;5392;138533;;5627;2899;63139;;8631;5480;147671;;5596;1996;57039;;8316;5306;138804;;5862;2945;66777;;8469;5385;138713;;5337;2228;58120;;8379;5387;138303;;3899;2393;53351;;
1700;;8865;5672;147651;;7421;3030;70103;;8388;5287;163150;;5020;1643;64201;;7884;4917;136589;;8979;4568;98877;;8784;5542;160725;;7598;4546;91494;;9099;5787;148372;;3819;1651;47921;;8964;5632;141138;;8197;4329;86164;;8883;5652;145226;;4251;2506;54403;;8910;5657;163160;;4601;1777;50697;;9009;5734;145927;;11742;5715;5249678;;8667;5497;143893;;5376;2111;51267;;
1800;;9612;6065;156247;;3487;1955;46829;;9756;6189;176124;;4186;1357;42671;;9648;6131;158682;;4606;1898;52380;;9585;6089;3796820;;5246;2493;58181;;9666;6135;158891;;8185;5058;94369;;9684;6159;172007;;11076;5903;110359;;9441;5992;151498;;4281;2183;71947;;9567;6091;154243;;6415;3108;67528;;9693;6129;160424;;6524;3158;69682;;9486;6024;154133;;4354;2162;72708;;
1900;;10170;6433;165765;;5425;2024;55636;;8919;5592;142541;;5440;2347;59763;;10179;6510;202424;;6319;3327;75574;;9486;6021;153412;;6728;5020;88087;;10098;6422;164142;;5110;3174;60515;;10377;6610;5237003;;6278;3449;75793;;10116;6346;210489;;7233;3689;79922;;10206;6448;175002;;7591;3708;81986;;10206;6483;187396;;6130;1755;57529;;10071;6389;168470;;6377;4291;83008;;
2000;;10557;6650;197355;;4229;2737;94810;;10674;6746;172838;;4297;2233;56046;;10305;6537;163861;;4695;2259;61326;;10584;6720;171055;;6760;2913;74100;;9612;6033;148793;;10306;3866;88758;;10467;6565;3355000;;5988;4280;77026;;10944;6885;178118;;5358;2718;66476;;10710;6827;172768;;4234;2700;55224;;10539;6693;175252;;10307;5195;104758;;9657;6079;152500;;4763;2006;57048;;
2100;;11241;7137;181935;;6028;3177;75653;;11178;7075;179601;;5830;2594;60375;;11016;6977;174862;;6498;3197;69813;;11277;7168;190502;;6005;2698;69212;;10935;6925;171235;;5879;1423;48662;;11079;6976;174983;;9818;3691;88888;;10287;6492;176826;;12592;6709;123965;;10827;6821;176926;;5033;2763;67278;;11313;7198;192746;;5374;2372;65595;;11241;7074;179861;;5628;2669;77948;;
2200;;11907;7520;195892;;9347;4940;96914;;11970;7528;190232;;4457;1937;54133;;11790;7482;193829;;9044;5028;99579;;11340;7156;200731;;7333;3230;81364;;11826;7503;188368;;6035;2733;72077;;11061;6993;172778;;12109;7393;130067;;11736;7416;191664;;8229;5798;101592;;11691;7397;194991;;6786;1604;52921;;11826;7481;191293;;6674;3966;81094;;12114;7716;201633;;5647;2493;64583;;
2300;;12222;7767;222492;;10152;4773;103997;;12636;8043;225619;;5710;2538;68450;;12420;7844;198848;;5228;2787;64622;;12465;7869;204639;;10890;5139;109819;;12114;7622;207544;;11363;5159;111070;;11601;7288;4190786;;3576;2259;49975;;11475;7198;208386;;7394;3735;83188;;12402;7872;200460;;10157;4848;103036;;12411;7859;203707;;12439;6267;123945;;12555;7959;201984;;6823;4060;2127219;;
2400;;12960;8232;218355;;9966;5344;102264;;13419;8497;298607;;8845;3821;93788;;12366;7793;194950;;12374;4235;129656;;12897;8105;208216;;7533;3508;82738;;13077;8310;211823;;7535;3574;87947;;12933;8201;207885;;11039;7634;131940;;12987;8193;210490;;7825;5816;94149;;12762;8118;216000;;6494;3001;77577;;13167;8399;213145;;10297;6087;7073220;;12870;8123;210880;;6087;2535;67488;;
2500;;13608;8648;276776;;10074;5277;112644;;13428;8495;219246;;7613;2496;77898;;13437;8537;215629;;7540;2955;79180;;13149;8306;210169;;7662;2077;68009;;13653;8672;3529081;;10659;6504;123444;;13158;8294;209488;;4866;2111;58321;;13509;8544;214998;;12753;7602;135437;;13617;8646;219777;;7166;3036;73630;;13194;8289;228173;;7607;5787;99439;;13401;8426;212153;;8416;2452;74081;;
2600;;13815;8779;221681;;10175;6149;119317;;13248;8356;229295;;9901;3704;95161;;13950;8819;224186;;6574;2409;71976;;13896;8802;221952;;3988;2330;50816;;14067;8866;272358;;10108;6439;118344;;14211;9032;227743;;5721;3388;75153;;13626;8582;215379;;11018;4803;111020;;13437;8451;212333;;11705;5109;114989;;14094;8899;4213149;;12172;6192;117754;;12762;8081;202945;;5709;4101;76165;;
2700;;14544;9211;241288;;9632;5642;111251;;14463;9137;251467;;17799;9891;178479;;14355;9043;230989;;8581;4395;103818;;14895;9427;242500;;22363;12887;225498;;14634;9346;237020;;9183;4332;95572;;14769;9342;245596;;6820;5022;89109;;14391;9071;228294;;15031;7244;144163;;14706;9315;232853;;7342;4597;97175;;14688;9277;251197;;10890;6378;127071;;14895;9428;237762;;7323;2946;72718;;
2800;;14760;9263;251428;;9768;3774;101342;;15336;9712;263480;;5569;3181;98597;;15363;9678;259843;;9706;3422;88478;;7875;4934;182697;;17122;8097;161035;;14049;8912;6958392;;12403;5930;161557;;15435;9757;284310;;7138;4890;89991;;15147;9614;257018;;5963;2792;73279;;15300;9722;259603;;12668;6868;134616;;13797;8662;4232295;;12079;7890;141709;;15183;9568;252680;;6231;3300;77578;;
